date,symbol,gap,prev_close,rank,status,rth_minutes
2021-01-05,ATOM,0.2188679,15.9,1.0,ok,390.0
2021-01-06,TATT,0.4901961,5.1,1.0,ok,389.0
2021-01-06,TLRY,0.15878022,9.51,2.0,ok,390.0
2021-01-06,ACB,0.14329898,9.7,3.0,ok,390.0
2021-01-06,CRON,0.12898934,7.52,4.0,ok,390.0
2021-01-06,NCTY,0.12850463,8.56,5.0,ok,390.0
2021-01-07,NCTY,0.45668232,14.89,1.0,ok,386.0
2021-01-07,CBAT,0.37031257,6.4,2.0,ok,390.0
2021-01-07,XNET,0.27133536,3.37,3.0,ok,390.0
2021-01-07,DDD,0.2055161,11.24,4.0,ok,390.0
2021-01-07,MARA,0.18985856,16.96,5.0,ok,390.0
2021-01-08,LGHL,1.1652174,2.3,1.0,ok,390.0
2021-01-08,FTFT,0.6452174,5.75,2.0,ok,382.0
2021-01-08,GRNQ,0.35585582,2.22,3.0,ok,390.0
2021-01-08,SCOR,0.2570423,2.84,4.0,ok,364.0
2021-01-08,JAGX,0.21641803,2.68,5.0,ok,390.0
2021-01-11,GOVX,1.148485,3.3,1.0,ok,386.0
2021-01-11,PWCM,0.56338024,2.13,2.0,ok,390.0
2021-01-11,MESO,0.4907621,8.66,3.0,ok,390.0
2021-01-11,BNGO,0.26709402,4.68,4.0,ok,390.0
2021-01-11,DOGZ,0.111607194,2.24,5.0,ok,207.0
2021-01-12,IRIX,0.37328672,2.86,1.0,ok,376.0
2021-01-12,CAPR,0.17312074,4.39,2.0,ok,378.0
2021-01-12,PAVS,0.16981137,2.12,3.0,ok,381.0
2021-01-12,UAVS,0.1636107,7.09,4.0,ok,388.0
2021-01-12,APXTW,0.1618799,3.83,5.0,ok,267.0
2021-01-13,BGM,0.42003298,10.0,1.0,ok,382.0
2021-01-13,SMC,0.4052478,13.72,2.0,ok,263.0
2021-01-13,GLNG,0.23287678,12.24,3.0,ok,390.0
2021-01-13,MTRX,0.222404,12.23,4.0,ok,371.0
2021-01-13,STIM,0.21079695,11.67,5.0,ok,339.0
2021-01-14,IBRX,0.35318005,14.78,1.0,ok,390.0
2021-01-14,CNET,0.35267854,2.24,2.0,ok,390.0
2021-01-14,ORGO,0.32697546,7.34,3.0,ok,382.0
2021-01-14,MNTS,0.29349732,17.07,4.0,ok,388.0
2021-01-14,ASTS,0.18373036,13.35,5.0,ok,390.0
2021-01-15,DBVT,0.42272723,3.74,1.0,ok,390.0
2021-01-15,AMTX,0.19999993,3.5,2.0,ok,372.0
2021-01-15,BB,0.17233813,9.11,3.0,ok,390.0
2021-01-15,TLRY,0.16271555,18.56,4.0,ok,390.0
2021-01-15,NCNA,0.14615381,6.5,5.0,ok,379.0
2021-01-19,ACRS,1.3894558,5.88,1.0,ok,386.0
2021-01-19,GEVO,0.38437498,6.4,2.0,ok,390.0
2021-01-19,NERV,0.3468635,2.71,3.0,ok,388.0
2021-01-19,DBVT,0.3021201,5.66,4.0,ok,380.0
2021-01-19,CRNT,0.28041244,4.85,5.0,ok,390.0
2021-01-20,DARE,0.45762706,2.36,1.0,ok,390.0
2021-01-20,NIKI,0.4433962,3.18,2.0,ok,387.0
2021-01-20,LCTX,0.22177422,2.48,3.0,ok,390.0
2021-01-20,UAVS,0.16856682,12.28,4.0,ok,390.0
2021-01-20,SENS,0.16842103,2.85,5.0,ok,390.0
2021-01-21,IPWR,0.37650943,9.11,1.0,ok,378.0
2021-01-21,JAGX,0.16095889,2.92,2.0,ok,390.0
2021-01-21,ECOR,0.15322578,2.48,3.0,ok,390.0
2021-01-21,DTIL,0.12636614,14.64,4.0,ok,387.0
2021-01-21,CRDF,0.12387788,11.14,5.0,ok,389.0
2021-01-22,EVGO,0.55547225,13.34,1.0,ok,390.0
2021-01-22,HIND,0.2489872,5.0601,2.0,ok,390.0
2021-01-22,SCYX,0.21203828,7.31,3.0,ok,387.0
2021-01-22,LAB,0.14772737,6.16,4.0,ok,390.0
2021-01-25,AMTX,0.6181817,4.4,1.0,ok,390.0
2021-01-25,BB,0.3924501,14.04,2.0,ok,390.0
2021-01-25,RCON,0.3881278,2.19,3.0,ok,382.0
2021-01-25,AUPH,0.37954247,14.86,4.0,ok,390.0
2021-01-25,AMC,0.3414024,3.51,5.0,ok,390.0
2021-01-26,KOSS,0.94833326,6.0,1.0,ok,382.0
2021-01-26,EDSA,0.61301994,5.53,2.0,ok,386.0
2021-01-26,VANI,0.23923445,2.09,3.0,ok,387.0
2021-01-26,MYO,0.2343173,10.84,4.0,ok,290.0
2021-01-26,PRTS,0.19456685,13.62,5.0,ok,390.0
2021-01-27,AMC,3.1004133,4.96,1.0,ok,365.0
2021-01-27,KOSS,0.7520001,10.0,2.0,ok,264.0
2021-01-27,CANG,0.41087627,8.5,3.0,ok,389.0
2021-01-27,KODK,0.3488865,9.43,4.0,ok,390.0
2021-01-27,OXBR,0.29933107,3.14,5.0,ok,390.0
2021-01-28,JAN,1.3428206,9.52,1.0,no_minute_data,
2021-01-28,AIFC,1.3424368,9.52,2.0,ok,300.0
2021-01-28,MPU,0.85025644,9.75,3.0,ok,315.0
2021-01-28,XWEL,0.39330542,2.39,4.0,ok,390.0
2021-01-28,AG,0.33698034,13.89,5.0,ok,366.0
2021-01-29,AMC,0.658404,8.63,1.0,ok,386.0
2021-01-29,FFAI,0.316267,15.43,2.0,ok,390.0
2021-01-29,CD,0.2743436,3.29,3.0,ok,314.0
2021-01-29,TRVG,0.24209261,2.48,4.0,ok,389.0
2021-01-29,RIOT,0.22930253,19.93,5.0,ok,390.0
2021-02-01,PHUN,0.47115386,2.08,1.0,ok,390.0
2021-02-01,MVST,0.42975736,15.66,2.0,ok,390.0
2021-02-01,CDE,0.3816371,9.05,3.0,ok,390.0
2021-02-01,IMTE,0.33855188,5.11,4.0,ok,383.0
2021-02-01,AG,0.3165549,18.12,5.0,ok,390.0
2021-02-02,MBRX,0.5765958,4.7,1.0,ok,390.0
2021-02-02,AREC,0.35436904,2.51,2.0,ok,390.0
2021-02-02,PRTA,0.30999994,11.0,3.0,ok,373.0
2021-02-02,TLSA,0.30366492,3.82,4.0,ok,374.0
2021-02-02,GSM,0.24634969,2.76,5.0,ok,390.0
2021-02-03,SGLY,1.1729958,4.74,1.0,ok,378.0
2021-02-03,SLS,0.43643022,8.18,2.0,ok,390.0
2021-02-03,KOSS,0.33749998,20.0,3.0,ok,390.0
2021-02-03,CPSH,0.28242064,6.94,4.0,ok,386.0
2021-02-03,SOGP,0.26199913,5.16,5.0,ok,390.0
2021-02-04,AVXL,0.9210019,10.38,1.0,ok,382.0
2021-02-04,ATOS,0.36728394,3.24,2.0,ok,390.0
2021-02-04,SOGP,0.28365195,8.5,3.0,ok,390.0
2021-02-04,ANVS,0.25206387,18.17,4.0,ok,371.0
2021-02-04,GNPX,0.21314383,5.63,5.0,ok,382.0
2021-02-05,JG,1.7562814,3.98,1.0,ok,386.0
2021-02-05,KRKR,0.46888888,4.5,2.0,ok,361.0
2021-02-05,AREC,0.41037333,4.68,3.0,ok,386.0
2021-02-05,BTCT,0.38321173,2.74,4.0,ok,390.0
2021-02-05,MYND,0.34857774,2.7,5.0,ok,369.0
2021-02-08,OCGN,0.767619,5.25,1.0,ok,378.0
2021-02-08,WPRT,0.43930638,8.65,2.0,ok,390.0
2021-02-08,CLNE,0.2995373,12.97,3.0,ok,390.0
2021-02-08,PPBT,0.25703776,4.76,4.0,ok,388.0
2021-02-08,PHUN,0.21818185,2.2,5.0,ok,390.0
2021-02-09,CHCI,2.1848342,4.22,1.0,ok,386.0
2021-02-09,OTLK,0.19637465,3.31,2.0,ok,386.0
2021-02-09,DSX,0.17657351,2.6,3.0,ok,347.0
2021-02-09,RMCF,0.16271186,5.9,4.0,ok,258.0
2021-02-09,PRSO,0.13742697,3.42,5.0,ok,360.0
2021-02-10,OLB,0.7127516,7.45,1.0,ok,378.0
2021-02-10,WGS,0.48195887,15.52,2.0,ok,390.0
2021-02-10,GSAT,0.4477613,2.01,3.0,ok,390.0
2021-02-10,ACHR,0.3727759,11.24,4.0,ok,390.0
2021-02-10,OGI,0.35788274,4.345,5.0,ok,390.0
2021-02-11,RCMT,1.681572,3.69,1.0,ok,382.0
2021-02-11,ACIU,0.5896033,7.31,2.0,ok,390.0
2021-02-11,MVIS,0.4057144,14.0,3.0,ok,390.0
2021-02-11,SNDL,0.34237278,2.95,4.0,ok,386.0
2021-02-11,GRNQ,0.19898784,2.47,5.0,ok,384.0
2021-02-12,ASYS,0.18644059,8.85,1.0,ok,326.0
2021-02-12,INO,0.18615377,13.0,2.0,ok,390.0
2021-02-12,ALAR,0.18222225,2.25,3.0,ok,376.0
2021-02-12,AHG,0.17985606,2.78,4.0,ok,280.0
2021-02-12,AMBO,0.15894032,3.02,5.0,ok,315.0
2021-02-16,SCKT,2.1450615,3.24,1.0,ok,350.0
2021-02-16,FWDI,0.36833334,4.2,2.0,ok,340.0
2021-02-16,SOS,0.3024193,7.44,3.0,ok,390.0
2021-02-16,MYO,0.22770917,14.58,4.0,ok,347.0
2021-02-16,SGLY,0.22476375,7.71,5.0,ok,390.0
2021-02-17,LODE,3.3688889,2.25,1.0,ok,390.0
2021-02-17,PETZ,1.8019168,3.13,2.0,ok,328.0
2021-02-17,CLPS,1.7176383,4.9,3.0,ok,370.0
2021-02-17,DOGZ,0.6681615,2.23,4.0,ok,390.0
2021-02-17,ONCY,0.5481727,3.01,5.0,ok,390.0
2021-02-18,QUIK,0.3723849,7.17,1.0,ok,377.0
2021-02-18,BKSY,0.26210046,10.95,2.0,ok,390.0
2021-02-18,BTTC,0.18309855,3.55,3.0,ok,389.0
2021-02-18,RIGL,0.17439294,4.53,4.0,ok,390.0
2021-02-18,INBS,0.15320337,7.18,5.0,ok,332.0
2021-02-19,WATT,0.57795703,3.72,1.0,ok,390.0
2021-02-19,EOLS,0.4818436,7.16,2.0,thin_session,
2021-02-19,JFU,0.27376425,2.63,3.0,ok,390.0
2021-02-19,MTC,0.25575447,3.91,4.0,ok,384.0
2021-02-19,TAOP,0.25173616,5.76,5.0,ok,382.0
2021-02-22,ENVX,0.2698413,15.75,1.0,ok,390.0
2021-02-22,CTXR,0.20873785,2.06,2.0,ok,390.0
2021-02-22,VIOT,0.18447924,15.88,3.0,ok,382.0
2021-02-22,VUZI,0.15002823,17.73,4.0,ok,390.0
2021-02-22,BODI,0.13879001,14.05,5.0,ok,390.0
2021-02-23,YHGJ,0.74261594,2.37,1.0,ok,390.0
2021-02-23,RETO,0.11965811,2.34,2.0,ok,390.0
2021-02-24,SYPR,1.5864661,2.66,1.0,ok,390.0
2021-02-24,ARLO,0.2447604,6.68,2.0,ok,389.0
2021-02-24,RCMT,0.16049373,4.05,3.0,ok,341.0
2021-02-24,IONQ,0.15733111,12.14,4.0,ok,390.0
2021-02-24,AIM,0.15060353,2.26,5.0,ok,381.0
2021-02-25,KOSS,0.7684381,18.44,1.0,ok,386.0
2021-02-25,AIFC,0.41636586,8.31,2.0,ok,378.0
2021-02-25,JAN,0.4162308,8.31,3.0,no_minute_data,
2021-02-25,SCKT,0.38613856,10.1,4.0,ok,390.0
2021-02-25,AMC,0.19825912,9.09,5.0,ok,390.0
2021-02-26,BTCT,0.21917808,2.19,1.0,ok,381.0
2021-02-26,RKT,0.1725663,19.9,2.0,ok,390.0
2021-02-26,SRTS,0.1649214,3.82,3.0,ok,384.0
2021-03-01,ECOR,0.3225807,2.17,1.0,ok,390.0
2021-03-01,RKLB,0.31219506,10.25,2.0,ok,390.0
2021-03-01,SOS,0.27044022,4.77,3.0,ok,390.0
2021-03-01,SCKT,0.26546144,10.51,4.0,ok,345.0
2021-03-01,SOGP,0.22948968,8.06,5.0,ok,319.0
2021-03-02,KOPN,0.2097826,9.2,1.0,ok,390.0
2021-03-02,SOS,0.18684602,6.69,2.0,ok,390.0
2021-03-02,FBIO,0.14948452,3.88,3.0,ok,386.0
2021-03-02,KXIN,0.14857137,3.5,4.0,ok,384.0
2021-03-02,AVTX,0.10991955,3.73,5.0,ok,318.0
2021-03-03,ZVRA,0.6723224,9.43,1.0,ok,386.0
2021-03-03,OVID,0.5844594,2.96,2.0,ok,390.0
2021-03-03,SLE,0.47630918,4.01,3.0,ok,390.0
2021-03-03,UWMC,0.33305144,9.13,4.0,ok,390.0
2021-03-03,OCGN,0.2541666,9.6,5.0,ok,390.0
2021-03-04,AIFA,0.2240001,2.5,1.0,ok,390.0
2021-03-04,SLE,0.1823417,5.21,2.0,ok,390.0
2021-03-04,SKT,0.16090333,17.74,3.0,ok,390.0
2021-03-05,AEI,0.3849765,10.65,1.0,ok,360.0
2021-03-05,SIFY,0.29629624,2.7,2.0,ok,390.0
2021-03-05,CLPS,0.25627232,4.14,3.0,ok,390.0
2021-03-05,BTCT,0.20192313,2.08,4.0,ok,389.0
2021-03-05,LFMD,0.16712713,14.48,5.0,ok,368.0
2021-03-08,CMMB,0.5793414,3.34,1.0,ok,390.0
2021-03-08,VANI,0.5543859,5.7,2.0,ok,372.0
2021-03-08,IMVT,0.44047368,13.51,3.0,ok,390.0
2021-03-08,MBI,0.115820885,7.68,4.0,thin_session,
2021-03-08,CUE,0.11494255,13.05,5.0,ok,294.0
2021-03-09,VANI,0.5921835,11.77,1.0,ok,390.0
2021-03-09,GTBP,0.3017621,4.54,2.0,ok,375.0
2021-03-09,ASYS,0.14613819,8.83,3.0,ok,260.0
2021-03-09,YDKG,0.1449275,2.76,4.0,ok,310.0
2021-03-09,SCKT,0.1428572,7.63,5.0,ok,380.0
2021-03-10,MNOV,0.73415506,5.68,1.0,ok,390.0
2021-03-10,ENVB,0.7064847,2.93,2.0,ok,390.0
2021-03-10,KOSS,0.40949726,17.9,3.0,ok,378.0
2021-03-10,HIND,0.35310733,3.54,4.0,ok,378.0
2021-03-10,NAGE,0.24432814,11.46,5.0,ok,378.0
2021-03-11,XMAX,1.8875,2.4,1.0,ok,390.0
2021-03-11,SIEB,0.45813942,4.3,2.0,ok,387.0
2021-03-11,LGVN,0.4506259,7.19,3.0,ok,381.0
2021-03-11,OGI,0.37716258,2.89,4.0,ok,390.0
2021-03-11,SLE,0.2162162,5.55,5.0,ok,390.0
2021-03-12,ENTX,0.5420792,4.04,1.0,ok,362.0
2021-03-12,ANIX,0.30503893,5.14,2.0,ok,386.0
2021-03-12,GRABW,0.11650479,5.15,3.0,ok,119.0
2021-03-12,BTCT,0.113360286,2.47,4.0,ok,390.0
2021-03-12,FRSX,0.10041261,7.27,5.0,ok,390.0
2021-03-15,ZKIN,0.1627543,6.39,1.0,ok,385.0
2021-03-15,TOON,0.1327014,2.11,2.0,ok,390.0
2021-03-15,AREC,0.12657928,4.34,3.0,ok,374.0
2021-03-15,CBAT,0.11213243,5.44,4.0,ok,390.0
2021-03-15,SLE,0.110429406,6.52,5.0,ok,387.0
2021-03-16,ZDGE,0.3178928,11.27,1.0,ok,377.0
2021-03-16,SYPR,0.22666669,3.75,2.0,ok,339.0
2021-03-16,ERNA,0.1591512,3.77,3.0,ok,372.0
2021-03-16,CMMB,0.1409396,4.47,4.0,ok,383.0
2021-03-16,ZVRA,0.13411558,11.93,5.0,ok,390.0
2021-03-17,QNTM,0.38164246,2.07,1.0,ok,390.0
2021-03-17,IMTX,0.3327601,11.63,2.0,ok,390.0
2021-03-17,AREC,0.21835518,4.26,3.0,ok,390.0
2021-03-18,SGLY,0.30455065,8.57,1.0,ok,390.0
2021-03-18,OCG,0.29528332,10.6,2.0,ok,381.0
2021-03-18,PCTTW,0.27923977,13.68,3.0,thin_session,
2021-03-18,AYTU,0.12244892,9.8,4.0,ok,375.0
